discount_until,country,city,state,postal_code,region,product_id,category,sub_category,brand,product_name,currency,actual_price,discount_price,discount_percentage,address
2024-07-14,USA,San Francisco,CA,49012,Central,9918,Footwear,Women Shoes,Puma,Formal Shoes,EUR,132.86,99.65,25,100 Pine St
2024-02-05,USA,San Francisco,CA,54711,Central,4802,Footwear,Men Shoes,Puma,Running Shoes,GBP,73.23,59.32,19,321 Oak St
2023-11-13,USA,New York,IL,83143,Central,8774,Footwear,Women Shoes,Addidas,Running Shoes,GBP,104.22,89.63,14,789 Elm St
2024-04-25,USA,San Francisco,NY,93925,South,3790,Footwear,Women Shoes,Addidas,Running Shoes,EUR,123.21,117.05,5,100 Pine St
2023-10-23,USA,San Francisco,NY,12561,East,9535,Footwear,Men Shoes,Puma,Running Shoes,EUR,197.81,185.94,6,321 Oak St
2023-10-09,USA,New York,NY,47928,South,2180,Footwear,Women Shoes,Nike,Casual Shoes,EUR,66.24,50.34,24,100 Pine St
2023-09-12,USA,Los Angeles,CA,28372,South,8769,Footwear,Women Shoes,Puma,Running Shoes,EUR,83.65,61.9,26,321 Oak St
2024-03-29,USA,Los Angeles,IL,94442,West,3932,Footwear,Women Shoes,Puma,Running Shoes,GBP,97.1,80.59,17,789 Elm St
2024-03-19,USA,New York,CA,86925,East,4593,Footwear,Men Shoes,Puma,Casual Shoes,USD,71.98,61.9,14,789 Elm St
2024-04-22,USA,San Francisco,NY,31508,West,4997,Footwear,Women Shoes,Reebok,Casual Shoes,GBP,80.24,60.98,24,100 Pine St
