discount_until,country,city,state,postal_code,region,product_id,category,sub_category,brand,product_name,currency,actual_price,discount_price,discount_percentage,address
2023-10-18,USA,San Francisco,NY,91941,South,2814,Footwear,Women Shoes,Nike,Formal Shoes,USD,85.0,75.0,12,100 Pine St
2023-09-25,USA,Los Angeles,NY,79619,South,6708,Footwear,Women Shoes,Reebok,Formal Shoes,USD,56.0,53.0,5,123 Main St
2024-05-04,USA,New York,IL,21071,West,1003,Footwear,Women Shoes,Reebok,Casual Shoes,USD,98.0,84.0,14,456 Market St
2024-01-15,USA,New York,IL,64924,Central,2628,Footwear,Women Shoes,Puma,Running Shoes,USD,58.0,47.0,19,456 Market St
2024-06-26,USA,New York,NY,99095,East,7056,Footwear,Men Shoes,Adidas,Running Shoes,USD,111.0,92.0,17,100 Pine St
2024-05-07,USA,New York,NY,19738,West,6018,Footwear,Men Shoes,Adidas,Formal Shoes,USD,168.0,118.0,30,321 Oak St
2023-11-19,USA,New York,NY,30831,South,4674,Footwear,Men Shoes,Nike,Casual Shoes,USD,52.0,45.0,14,321 Oak St
2023-11-04,USA,New York,IL,86298,East,9470,Footwear,Women Shoes,Reebok,Casual Shoes,USD,160.0,117.0,27,321 Oak St
2024-01-21,USA,Los Angeles,IL,20467,Central,6999,Footwear,Men Shoes,Nike,Formal Shoes,USD,166.0,158.0,5,100 Pine St
2024-02-09,USA,San Francisco,NY,88853,Central,8163,Footwear,Men Shoes,Puma,Formal Shoes,USD,114.0,90.0,21,321 Oak St
2024-07-16,USA,Los Angeles,NY,43545,West,8819,Footwear,Women Shoes,Nike,Running Shoes,USD,155.0,115.0,26,456 Market St
2023-09-16,USA,Los Angeles,CA,11699,Central,8948,Footwear,Women Shoes,Puma,Formal Shoes,USD,189.0,140.0,26,100 Pine St
2023-12-08,USA,Los Angeles,CA,65483,West,7436,Footwear,Women Shoes,Nike,Casual Shoes,USD,144.0,105.0,27,100 Pine St
2024-04-21,USA,Los Angeles,NY,86687,South,7249,Footwear,Women Shoes,Reebok,Formal Shoes,USD,189.0,170.0,10,100 Pine St
2024-05-22,USA,Los Angeles,IL,60860,East,1601,Footwear,Men Shoes,Reebok,Formal Shoes,USD,106.0,74.0,30,456 Market St
2024-04-03,USA,New York,CA,20408,Central,3200,Footwear,Women Shoes,Adidas,Casual Shoes,USD,196.0,141.0,28,123 Main St
2024-02-04,USA,Los Angeles,CA,61515,West,2232,Footwear,Men Shoes,Adidas,Casual Shoes,USD,124.0,110.0,11,789 Elm St
2024-08-11,USA,Los Angeles,NY,63758,South,6853,Footwear,Women Shoes,Nike,Formal Shoes,USD,63.0,49.0,22,321 Oak St
2024-01-26,USA,Los Angeles,IL,14038,West,8067,Footwear,Women Shoes,Reebok,Formal Shoes,USD,160.0,120.0,25,789 Elm St
2024-06-04,USA,San Francisco,NY,83932,East,3713,Footwear,Women Shoes,Nike,Running Shoes,USD,53.0,37.0,30,789 Elm St
2024-03-19,USA,New York,CA,17781,Central,1136,Footwear,Men Shoes,Reebok,Running Shoes,USD,94.0,88.0,6,123 Main St
2024-01-05,USA,New York,CA,71667,South,2662,Footwear,Men Shoes,Nike,Formal Shoes,USD,78.0,58.0,26,123 Main St
